Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
MB.2929	0.025692482372763465	0	0.038326807806155126	0.0031257290338487422	0	0.10601108629277767	0	0.07175572867961538	0	0.09633677152484739	0	0.08772043253367956	0.0030229586539090333	0.1451041104379904	0.17527855036753115	0.21960108490216146	0.03171644245576095	0	0.16677081436417268	0	0	0.002440187721713714	0.006	0.3060476585568209	1.1729031871469267
MB.2724	0.11996384587015375	0.1657535769542462	0	0.12268313617885694	0.5068575952396178	0.018758488839875503	0.04862963240082231	0.2710059641255962	0.1329650582024897	0.15491541887693297	0	0.07820183411884903	0	0.12507061624835675	0.12645042664019965	0.08699184344051779	0	0	0.03926120511796429	0	0	0	0	0.5551892209043284	1.9975086422544788
MB.3062	0	0.06384557094804585	0	0.136034003232344	0	0.031544974729663146	0.06364356995006094	0.11493196770705048	0	0.07562631281228716	0	0.11053086659774078	0.04860014520747678	0.1841540562626332	0.2622229030602288	0.2482793958863149	0.03979534569340229	0	0.06076944532366858	0	0	0	0	0.5318621634041418	1.439978557410917
MB.4707	0.0016190195923785006	0	0	0.10214120750766852	0	0.09930442171480852	0.03393987466721192	0.14241453310840363	0	0.015005642759111815	0	0.058019913068275926	0	0.28415018065659664	0.15758909201814592	0.2206993932872601	0.004769104193186149	0	0.0021533550981097244	0	0	0	0.023	0.21229213277712553	1.1218057376711574
MB.3383	0	0	0.10572871194607218	0	0	0	0	0.07634125117346119	0.0355321496195319	0.05392758461578273	0	0.04319065396686927	0.017862439000286754	0.5059351806319659	0.05219232201753349	0.16190185052929792	0.005976112635267313	0	0.08444248844035179	0	0	0	0.015	0.22650219626881019	1.1430307445764203
MB.3297	0.0004	0.004680256007255799	0.1451239480633995	0.012440879301872028	0	0.21693302939550735	0	0.12352573341340593	0	0.03690634250780848	0	0.05698244728728886	0.028365663628352404	0.20110517767020278	0.1422481693181669	0.219468003524091	0.01945236166219176	0	0.04577248144972587	0	0	0	0.049	0.16188920031222942	1.2533886658406284
MB.7114	0	0	0.17126915204133414	0.04087483966076115	0.030615991922646166	0.0227627674039105	0.03898686195788388	0.06120577348389951	0	0.0558857238117838	0.004510634584664099	0.03584842118606325	0	0.4019525221570169	0.17024698392913884	0.18197255877447507	0	0	0.016178901291913985	0	0	0	0.001	0.4225562209411967	1.2323111322054914
MB.7208	0.04754291422363915	0	0.07839298611846554	0.1603458386101586	0	0	0.1656157580911684	0.16454041362222577	0	0.07067933905791352	0.062212532778982116	0.14030014999628324	0.023627183220963393	0.09878863745078961	0.16263835966439372	0.037005565883536255	0.01710479633433276	0	0.16321315629544553	0	0	0	0.001	0.459694036105017	1.3920076313482976
MB.3001	0.0155999540694925	0	0.005984806300578402	0.06414983087366952	0.02296040486893745	0.05616814205222715	0.008284412342230199	0.16367295637714632	0	0.02939716113135911	0	0.11997008195451886	0.07507589820706477	0.032876446712735784	0.24820998698069555	0.27985853554907936	0.11202843721008054	0	0.05677364256417575	0	0	0	0.013	0.234208937996967	1.2910106971939912
MB.7057	0.009109077298613185	0	0.20335073821080757	0.04594081845451446	0	0.11579348674592169	0	0.012534149167643996	0	0.06948507043331452	0	0.029376503191950655	0.05017795837466111	0.08916036514231825	0.09764560415465187	0.11004933664833964	0.07462130942065069	0	0.19989557719681167	0	0	0	0.087	0.12268360652711537	1.1071399944401994
MB.7023	0	0	0.007893325698612027	0.12790243128593173	0	0	0.012612326036772297	0.08464022672073708	0.004222401915622637	0.06684391680472267	0	0.07460010047694443	0	0.15861263034151324	0.09779946416437445	0.5896258008238288	0.0020886527264009883	0	0.048361547800280014	0	0	0	0.003	0.36560501575422183	1.2752028247957403
MB.3500	0	0.05063021551365877	0.026019973777604722	0	0	0.13183902438228443	0.009942125847217168	0.017191823104549482	0	0.04608414860217335	0	0.03121707364716125	0.07872929197559583	0.6471177043171273	0.10233483452421828	0.14509207138184696	0.004998483199342142	0	0	0.0827250478886029	0	0	0.001	0.42878509851661617	1.373929079605125
MB.3396	0.014341241942870547	0	0	0	0.00602086451815581	0.03564405095461128	0	0.07672160841302142	0	0.10316472043638755	0	0.051040214653695064	0.017193206470499454	0.13780885681083968	0.12229859814052749	0.5084768048748713	0	0.006296659069343471	0	0.1429267479118228	0	0	0.002	0.3892470692994653	1.2219832999925164
MB.7145	0	0.007210478376998779	0.012041644245809125	0.034816961712336864	0	0.02612037491760663	0.0002	0.05523781225456916	0.09318135979273773	0.05419375656906457	0	0.038767602901754586	0.054527338032225495	0.2510032339342503	0.09952505845637626	0.34429418752388674	0	0	0.01887590677167367	0	0	0	0.045	0.16644564876981427	1.0899618221515421
MB.7155	0.0017370290772873633	0.011788704439086127	0.027392622763026394	0.061103359303313266	0	0.09744653355002078	0.06881492740708628	0.20197557872734445	0.004216422198514548	0.073921646956442	0	0.12408648344036816	0.0014982255099971868	0.09013413773681206	0.21572685419765186	0.12778562698775342	0.010711735193727612	0.006941807026732587	0.11516642353910994	0	0	0	0.023	0.20739923497912183	1.2404481180542741
MB.3218	0.0226441490383555	0	0.025344916692989012	0.0005	0	0.2312598355717651	0.001683752927480094	0.07430411226025968	0	0.21087221283678648	0	0.0965737652530307	0.02232664837553361	0.037393032603670884	0.23042384768585664	0.2807123486898019	0.03150454923814046	0	0.07516874884831921	0	0	0	0.001	0.45863348666387327	1.340714192798239
MB.7270	0	0.01220231588178932	0.016410281281896116	0	0.06124963824855109	0.13488591358741148	0.009181626676285436	0.15106794603659315	0.02271573398419675	0.1865006856056083	0	0.046113578651648564	0.0981429813243052	0.0532261973908098	0.2415919851992245	0.12803462399662927	0.008174821638583784	0.007587076277262203	0.10590006101825818	0	0	0	0.013	0.23836344678248672	1.2829854667990532
MB.7008	0	0	0.002463420748443175	0.11261703286318261	0	0.12179945989160815	0	0.0005999999999999999	0.007836419269081619	0.03625310452361863	0	0.09027185787734737	0.043782256189493864	0.023975068750903227	0.1259586589438695	0.45051623642136934	0.07248088868125831	0	0.12242594010875896	0	0	0	0.007	0.30330445272113316	1.2109995350302019
MB.7009	0	0	0.007309206024817362	0.02304071950414098	0	0.13601092094789496	0.0036635868811274335	0.06896816520235086	0.02255368271905547	0.02088252928665516	0	0.027813708965038847	0.040926349835943676	0.339532038996026	0.08329395533149674	0.2140134444876173	0.018629090735547003	0	0.14268123140630698	0.02067602897979866	0	0	0.025	0.2036265865078734	1.1699946593038175
